from,to,fromModule,toModule,FromSub-Model,ToSub-Model,Distance,Type1,Type2
EDSECUPPRTOT,EDSECLOWRGRATE,Education,Education,Education: Enrollment,Education: Enrollment,306,1,1
EDEXPERSECLOWR,EDSECLOWRGRATE,Education,Education,Education: Expenditure,Education: Enrollment,311,1,1
EDEXPERSECUPPR,EDSECLOWRGRATE,Education,Education,Education: Expenditure,Education: Enrollment,310,1,1
edseclowrgram,EDSECLOWRGRATE,Education,Education,Education: Graduation,Education: Enrollment,0,2,1
edseclowrgradgr,EDSECLOWRGRATE,Education,Education,Education: Enrollment,Education: Enrollment,0,2,1
edseclowrgratrgtyr,EDSECLOWRGRATE,Education,Education,Education: Graduation,Education: Enrollment,0,2,1
EDPRICR,EDSECLOWRGRATE,Education,Education,Education: Completion,Education: Enrollment,1,1,1
EDSECLOWRTRAN,EDSECLOWRGRATE,Education,Education,Education: Survival,Education: Enrollment,1,1,1
GDPPCP,EDSECLOWRGRATE,Economy,Education,Education: GDP,Education: Enrollment,2,1,1
POP,EDSECLOWRTOT,Demography,Education,Education: Population,Education: Enrollment,0,1,1
EDSECLOWRENRG,EDSECLOWRTOT,Education,Education,Education: Enrollment,Education: Enrollment,0,1,1
POP,EDSECLOWRTRAN,Demography,Education,Education: Population,Education: Survival,0,1,1
edpristart,EDSECLOWRTRAN,Education,Education,Education: Intake,Education: Survival,3,2,1
edprilen,EDSECLOWRTRAN,Education,Education,Education: Intake,Education: Survival,3,2,1
edqtqltrm,EDSECLOWRTRAN,Education,Education,Education: Quality,Education: Survival,0,2,1
GDS,EDSECLOWRTRAN,Economy,Education,Education: Government Finance,Education: Survival,254,1,1
GDSED,EDSECLOWRTRAN,Economy,Education,Education: Government Finance,Education: Survival,254,1,1
EDEXPERTER,EDSECLOWRTRAN,Education,Education,Education: Expenditure,Education: Survival,255,1,1
GDPPC,EDSECLOWRTRAN,Economy,Education,Education: GDP,Education: Survival,255,1,1
EDTERTOT,EDSECLOWRTRAN,Education,Education,Education: Enrollment,Education: Survival,255,1,1
EDPRITOT,EDSECLOWRTRAN,Education,Education,Education: Enrollment,Education: Survival,302,1,1
EDEXPERPRI,EDSECLOWRTRAN,Education,Education,Education: Expenditure,Education: Survival,306,1,1
EDSECLOWRTOT,EDSECLOWRTRAN,Education,Education,Education: Enrollment,Education: Survival,301,1,1
EDSECUPPRTOT,EDSECLOWRTRAN,Education,Education,Education: Enrollment,Education: Survival,300,1,1
EDEXPERSECLOWR,EDSECLOWRTRAN,Education,Education,Education: Expenditure,Education: Survival,305,1,1
EDEXPERSECUPPR,EDSECLOWRTRAN,Education,Education,Education: Expenditure,Education: Survival,304,1,1
edseclowrtranm,EDSECLOWRTRAN,Education,Education,Education: Survival,Education: Survival,0,2,1
edseclowrtrangr,EDSECLOWRTRAN,Education,Education,Education: Survival,Education: Survival,0,2,1
edseclowrtrantrgtyr,EDSECLOWRTRAN,Education,Education,Education: Survival,Education: Survival,0,2,1
GDPPCP,EDSECLOWRTRAN,Economy,Education,Education: GDP,Education: Survival,17,1,1
edseclowrlen,EDSECLOWRVOC,Education,Education,Education: Enrollment,Education: Vocational,3,2,1
POP,EDSECLOWRVOC,Demography,Education,Education: Population,Education: Vocational,2028,1,1
edpristart,EDSECLOWRVOC,Education,Education,Education: Intake,Education: Vocational,9,2,1
edprilen,EDSECLOWRVOC,Education,Education,Education: Intake,Education: Vocational,9,2,1
edseclowrvocadd,EDSECLOWRVOC,Education,Education,Education: Vocational,Education: Vocational,0,2,1
POP,EDSECPER,Demography,Education,Education: Population,Education: Completion,0,1,1
EDSECUPPRGRATE,EDSECPER,Education,Education,Education: Graduation,Education: Completion,1,1,1
edpristart,EDSECPER,Education,Education,Education: Intake,Education: Completion,4,2,1
edprilen,EDSECPER,Education,Education,Education: Intake,Education: Completion,4,2,1
edseclowrlen,EDSECPER,Education,Education,Education: Enrollment,Education: Completion,4,2,1
edsecupprlen,EDSECPER,Education,Education,Education: Enrollment,Education: Completion,4,2,1
POP,EDSECPER15TO24,Demography,Education,Education: Population,Education: Years of Education,0,1,1
EDSECUPPRGRATE,EDSECPER15TO24,Education,Education,Education: Graduation,Education: Years of Education,4,1,1
edpristart,EDSECPER15TO24,Education,Education,Education: Intake,Education: Years of Education,7,2,1
edprilen,EDSECPER15TO24,Education,Education,Education: Intake,Education: Years of Education,7,2,1
edseclowrlen,EDSECPER15TO24,Education,Education,Education: Enrollment,Education: Years of Education,7,2,1
edsecupprlen,EDSECPER15TO24,Education,Education,Education: Enrollment,Education: Years of Education,7,2,1
POP,EDSECPER20TO24,Demography,Education,Education: Population,Education: Years of Education,0,1,1
EDSECUPPRGRATE,EDSECPER20TO24,Education,Education,Education: Graduation,Education: Years of Education,6,1,1
edpristart,EDSECPER20TO24,Education,Education,Education: Intake,Education: Years of Education,9,2,1
edprilen,EDSECPER20TO24,Education,Education,Education: Intake,Education: Years of Education,9,2,1
edseclowrlen,EDSECPER20TO24,Education,Education,Education: Enrollment,Education: Years of Education,9,2,1
edsecupprlen,EDSECPER20TO24,Education,Education,Education: Enrollment,Education: Years of Education,9,2,1
EDSECLOWRTOT,EDSECTOT,Education,Education,Education: Enrollment,Education: Enrollment,0,1,1
EDSECUPPRTOT,EDSECTOT,Education,Education,Education: Enrollment,Education: Enrollment,0,1,1
edsecupprlen,EDSECUPPRENRG,Education,Education,Education: Enrollment,Education: Enrollment,2,2,1
POP,EDSECUPPRENRG,Demography,Education,Education: Population,Education: Enrollment,2043,1,1
edpristart,EDSECUPPRENRG,Education,Education,Education: Intake,Education: Enrollment,6,2,1
edprilen,EDSECUPPRENRG,Education,Education,Education: Intake,Education: Enrollment,6,2,1
edseclowrlen,EDSECUPPRENRG,Education,Education,Education: Enrollment,Education: Enrollment,6,2,1
EDSECUPPRTOT,EDSECUPPRENRG,Education,Education,Education: Enrollment,Education: Enrollment,1,1,1
POP,EDSECUPPRGRADS,Demography,Education,Education: Population,Education: Graduation,0,1,1
edseclowrlen,EDSECUPPRGRADS,Education,Education,Education: Enrollment,Education: Graduation,0,2,1
edsecupprlen,EDSECUPPRGRADS,Education,Education,Education: Enrollment,Education: Graduation,0,2,1
EDSECUPPRGRATE,EDSECUPPRGRADS,Education,Education,Education: Graduation,Education: Graduation,0,1,1
POP,EDSECUPPRGRATE,Demography,Education,Education: Population,Education: Graduation,2,1,1
edsecupprlen,EDSECUPPRGRATE,Education,Education,Education: Enrollment,Education: Graduation,2,2,1
edpristart,EDSECUPPRGRATE,Education,Education,Education: Intake,Education: Graduation,10,2,1
edprilen,EDSECUPPRGRATE,Education,Education,Education: Intake,Education: Graduation,10,2,1
edseclowrlen,EDSECUPPRGRATE,Education,Education,Education: Enrollment,Education: Graduation,10,2,1
EDTERGRATE,EDSECUPPRGRATE,Education,Education,Education: Graduation,Education: Graduation,0,1,1
edqtqltrm,EDSECUPPRGRATE,Education,Education,Education: Quality,Education: Graduation,0,2,1
GDS,EDSECUPPRGRATE,Economy,Education,Education: Government Finance,Education: Graduation,273,1,1
GDSED,EDSECUPPRGRATE,Economy,Education,Education: Government Finance,Education: Graduation,273,1,1
EDEXPERTER,EDSECUPPRGRATE,Education,Education,Education: Expenditure,Education: Graduation,274,1,1
GDPPC,EDSECUPPRGRATE,Economy,Education,Education: GDP,Education: Graduation,274,1,1
EDTERTOT,EDSECUPPRGRATE,Education,Education,Education: Enrollment,Education: Graduation,274,1,1
EDPRITOT,EDSECUPPRGRATE,Education,Education,Education: Enrollment,Education: Graduation,321,1,1
EDEXPERPRI,EDSECUPPRGRATE,Education,Education,Education: Expenditure,Education: Graduation,325,1,1
EDSECLOWRTOT,EDSECUPPRGRATE,Education,Education,Education: Enrollment,Education: Graduation,320,1,1
EDSECUPPRTOT,EDSECUPPRGRATE,Education,Education,Education: Enrollment,Education: Graduation,319,1,1
EDEXPERSECLOWR,EDSECUPPRGRATE,Education,Education,Education: Expenditure,Education: Graduation,324,1,1
EDEXPERSECUPPR,EDSECUPPRGRATE,Education,Education,Education: Expenditure,Education: Graduation,323,1,1
edsecupprgram,EDSECUPPRGRATE,Education,Education,Education: Graduation,Education: Graduation,0,2,1
edsecupprgradgr,EDSECUPPRGRATE,Education,Education,Education: Survival,Education: Graduation,0,2,1
edsecupprgratrgtyr,EDSECUPPRGRATE,Education,Education,Education: Graduation,Education: Graduation,0,2,1
EDSECLOWRGRATE,EDSECUPPRGRATE,Education,Education,Education: Enrollment,Education: Graduation,1,1,1
EDSECUPPRTRAN,EDSECUPPRGRATE,Education,Education,Education: Survival,Education: Graduation,1,1,1
GDPPCP,EDSECUPPRGRATE,Economy,Education,Education: GDP,Education: Graduation,2,1,1
POP,EDSECUPPRTOT,Demography,Education,Education: Population,Education: Enrollment,0,1,1
EDSECUPPRENRG,EDSECUPPRTOT,Education,Education,Education: Enrollment,Education: Enrollment,0,1,1
POP,EDSECUPPRTRAN,Demography,Education,Education: Population,Education: Survival,0,1,1
edpristart,EDSECUPPRTRAN,Education,Education,Education: Intake,Education: Survival,1,2,1
edprilen,EDSECUPPRTRAN,Education,Education,Education: Intake,Education: Survival,1,2,1
edseclowrlen,EDSECUPPRTRAN,Education,Education,Education: Enrollment,Education: Survival,1,2,1
edqtqltrm,EDSECUPPRTRAN,Education,Education,Education: Quality,Education: Survival,0,2,1
GDS,EDSECUPPRTRAN,Economy,Education,Education: Government Finance,Education: Survival,267,1,1
GDSED,EDSECUPPRTRAN,Economy,Education,Education: Government Finance,Education: Survival,267,1,1
EDEXPERTER,EDSECUPPRTRAN,Education,Education,Education: Expenditure,Education: Survival,268,1,1
GDPPC,EDSECUPPRTRAN,Economy,Education,Education: GDP,Education: Survival,268,1,1
EDTERTOT,EDSECUPPRTRAN,Education,Education,Education: Enrollment,Education: Survival,268,1,1
EDPRITOT,EDSECUPPRTRAN,Education,Education,Education: Enrollment,Education: Survival,315,1,1
EDEXPERPRI,EDSECUPPRTRAN,Education,Education,Education: Expenditure,Education: Survival,319,1,1
EDSECLOWRTOT,EDSECUPPRTRAN,Education,Education,Education: Enrollment,Education: Survival,314,1,1
EDSECUPPRTOT,EDSECUPPRTRAN,Education,Education,Education: Enrollment,Education: Survival,313,1,1
EDEXPERSECLOWR,EDSECUPPRTRAN,Education,Education,Education: Expenditure,Education: Survival,318,1,1
EDEXPERSECUPPR,EDSECUPPRTRAN,Education,Education,Education: Expenditure,Education: Survival,317,1,1
edsecupprtranm,EDSECUPPRTRAN,Education,Education,Education: Survival,Education: Survival,0,2,1
edsecupprtrangr,EDSECUPPRTRAN,Education,Education,Education: Survival,Education: Survival,0,2,1
edsecupprtrantrgtyr,EDSECUPPRTRAN,Education,Education,Education: Survival,Education: Survival,0,2,1
GDPPCP,EDSECUPPRTRAN,Economy,Education,Education: GDP,Education: Survival,2,1,1
edsecupprlen,EDSECUPPRVOC,Education,Education,Education: Enrollment,Education: Vocational,3,2,1
POP,EDSECUPPRVOC,Demography,Education,Education: Population,Education: Vocational,2044,1,1
edpristart,EDSECUPPRVOC,Education,Education,Education: Intake,Education: Vocational,7,2,1
edprilen,EDSECUPPRVOC,Education,Education,Education: Intake,Education: Vocational,7,2,1
edseclowrlen,EDSECUPPRVOC,Education,Education,Education: Enrollment,Education: Vocational,7,2,1
edsecupprvocadd,EDSECUPPRVOC,Education,Education,Education: Vocational,Education: Vocational,0,2,1
POP,EDTERENRG,Demography,Education,Education: Population,Education: Enrollment,888,1,1
edpristart,EDTERENRG,Education,Education,Education: Intake,Education: Enrollment,149,2,1
edprilen,EDTERENRG,Education,Education,Education: Intake,Education: Enrollment,149,2,1
edseclowrlen,EDTERENRG,Education,Education,Education: Enrollment,Education: Enrollment,152,2,1
edsecupprlen,EDTERENRG,Education,Education,Education: Enrollment,Education: Enrollment,152,2,1
EDTERTOT,EDTERENRG,Education,Education,Education: Enrollment,Education: Enrollment,1,1,1
POP,EDTERGRADS,Demography,Education,Education: Population,Education: Graduation,0,1,1
EDTERGRATE,EDTERGRADS,Education,Education,Education: Graduation,Education: Graduation,0,1,1
POP,EDTERGRATE,Demography,Education,Education: Population,Education: Graduation,0,1,1
edpristart,EDTERGRATE,Education,Education,Education: Intake,Education: Graduation,146,2,1
edprilen,EDTERGRATE,Education,Education,Education: Intake,Education: Graduation,146,2,1
edseclowrlen,EDTERGRATE,Education,Education,Education: Enrollment,Education: Graduation,149,2,1
edsecupprlen,EDTERGRATE,Education,Education,Education: Enrollment,Education: Graduation,149,2,1
edtergradgr,EDTERGRATE,Education,Education,Education: Graduation,Education: Graduation,1,2,1
edterpushon,EDTERGRATE,Education,Education,Education: Graduation,Education: Graduation,0,2,1
EDTERENRG,EDTERGRATE,Education,Education,Education: Enrollment,Education: Graduation,205,1,1
EDSECUPPRGRATE,EDTERGRATE,Education,Education,Education: Graduation,Education: Graduation,0,1,1
edqtqltrm,EDTERGRATE,Education,Education,Education: Quality,Education: Graduation,0,2,1
GDS,EDTERGRATE,Economy,Education,Education: Government Finance,Education: Graduation,323,1,1
GDSED,EDTERGRATE,Economy,Education,Education: Government Finance,Education: Graduation,323,1,1
EDEXPERTER,EDTERGRATE,Education,Education,Education: Expenditure,Education: Graduation,324,1,1
GDPPC,EDTERGRATE,Economy,Education,Education: GDP,Education: Graduation,324,1,1
EDTERTOT,EDTERGRATE,Education,Education,Education: Enrollment,Education: Graduation,324,1,1
EDPRITOT,EDTERGRATE,Education,Education,Education: Enrollment,Education: Graduation,371,1,1
EDEXPERPRI,EDTERGRATE,Education,Education,Education: Expenditure,Education: Graduation,375,1,1
EDSECLOWRTOT,EDTERGRATE,Education,Education,Education: Enrollment,Education: Graduation,370,1,1
EDSECUPPRTOT,EDTERGRATE,Education,Education,Education: Enrollment,Education: Graduation,369,1,1
EDEXPERSECLOWR,EDTERGRATE,Education,Education,Education: Expenditure,Education: Graduation,374,1,1
EDEXPERSECUPPR,EDTERGRATE,Education,Education,Education: Expenditure,Education: Graduation,373,1,1
edtergradm,EDTERGRATE,Education,Education,Education: Graduation,Education: Graduation,0,2,1
edtergradtrgtyr,EDTERGRATE,Education,Education,Education: Graduation,Education: Graduation,0,2,1
EDTERINT,EDTERGRATE,Education,Education,Education: Intake,Education: Graduation,0,1,1
GDPPCP,EDTERGRATE,Economy,Education,Education: GDP,Education: Graduation,2,1,1
edterscienshradd,EDTERGRSCIEN,Education,Education,Education: Intake,Education: Graduation,0,2,1
GDPPCP,EDTERGRSCIEN,Economy,Education,Education: GDP,Education: Graduation,3,1,1
EDTERGRATE,EDTERGRSCIEN,Education,Education,Education: Graduation,Education: Graduation,0,1,1
POP,EDTERINT,Demography,Education,Education: Population,Education: Intake,0,1,1
edpristart,EDTERINT,Education,Education,Education: Intake,Education: Intake,145,2,1
edprilen,EDTERINT,Education,Education,Education: Intake,Education: Intake,145,2,1
edseclowrlen,EDTERINT,Education,Education,Education: Enrollment,Education: Intake,148,2,1
edsecupprlen,EDTERINT,Education,Education,Education: Enrollment,Education: Intake,148,2,1
edterintgr,EDTERINT,Education,Education,Education: Intake,Education: Intake,1,2,1
edqtqltrm,EDTERINT,Education,Education,Education: Quality,Education: Intake,0,2,1
GDS,EDTERINT,Economy,Education,Education: Government Finance,Education: Intake,318,1,1
GDSED,EDTERINT,Economy,Education,Education: Government Finance,Education: Intake,318,1,1
EDEXPERTER,EDTERINT,Education,Education,Education: Expenditure,Education: Intake,319,1,1
GDPPC,EDTERINT,Economy,Education,Education: GDP,Education: Intake,319,1,1
EDTERTOT,EDTERINT,Education,Education,Education: Enrollment,Education: Intake,319,1,1
EDPRITOT,EDTERINT,Education,Education,Education: Enrollment,Education: Intake,366,1,1
EDEXPERPRI,EDTERINT,Education,Education,Education: Expenditure,Education: Intake,370,1,1
EDSECLOWRTOT,EDTERINT,Education,Education,Education: Enrollment,Education: Intake,365,1,1
EDSECUPPRTOT,EDTERINT,Education,Education,Education: Enrollment,Education: Intake,364,1,1
EDEXPERSECLOWR,EDTERINT,Education,Education,Education: Expenditure,Education: Intake,369,1,1
EDEXPERSECUPPR,EDTERINT,Education,Education,Education: Expenditure,Education: Intake,368,1,1
edterintm,EDTERINT,Education,Education,Education: Intake,Education: Intake,0,2,1
edterinttrgtyr,EDTERINT,Education,Education,Education: Intake,Education: Intake,0,2,1
EDSECPER20TO24,EDTERINT,Education,Education,Education: Years of Education,Education: Intake,3,1,1
GDPPCP,EDTERINT,Economy,Education,Education: GDP,Education: Intake,3,1,1
POP,EDTERPER,Demography,Education,Education: Population,Education: Enrollment,0,1,1
EDTERGRATE,EDTERPER,Education,Education,Education: Graduation,Education: Enrollment,1,1,1
EDSECUPPRGRATE,EDTERPER,Education,Education,Education: Graduation,Education: Enrollment,40,1,1
edpristart,EDTERPER,Education,Education,Education: Intake,Education: Enrollment,3,2,1
edprilen,EDTERPER,Education,Education,Education: Intake,Education: Enrollment,3,2,1
edseclowrlen,EDTERPER,Education,Education,Education: Enrollment,Education: Enrollment,3,2,1
edsecupprlen,EDTERPER,Education,Education,Education: Enrollment,Education: Enrollment,3,2,1
EDTERENRG,EDTERTOT,Education,Education,Education: Enrollment,Education: Enrollment,0,1,1
POP,EDTERTOT,Demography,Education,Education: Population,Education: Enrollment,0,1,1
POP,EDYRSAG15,Demography,Education,Education: Population,Education: Years of Education,2,1,1
EDSECUPPRGRATE,EDYRSAG15,Education,Education,Education: Graduation,Education: Years of Education,43,1,1
EDTERGRATE,EDYRSAG15,Education,Education,Education: Graduation,Education: Years of Education,4,1,1
edpristart,EDYRSAG15,Education,Education,Education: Intake,Education: Years of Education,46,2,1
edprilen,EDYRSAG15,Education,Education,Education: Intake,Education: Years of Education,46,2,1
edseclowrlen,EDYRSAG15,Education,Education,Education: Enrollment,Education: Years of Education,46,2,1
edsecupprlen,EDYRSAG15,Education,Education,Education: Enrollment,Education: Years of Education,46,2,1
EDSECUPPRGRATE,EDYRSAG15TO24,Education,Education,Education: Graduation,Education: Years of Education,44,1,1
EDTERGRATE,EDYRSAG15TO24,Education,Education,Education: Graduation,Education: Years of Education,5,1,1
edpristart,EDYRSAG15TO24,Education,Education,Education: Intake,Education: Years of Education,47,2,1
edprilen,EDYRSAG15TO24,Education,Education,Education: Intake,Education: Years of Education,47,2,1
edseclowrlen,EDYRSAG15TO24,Education,Education,Education: Enrollment,Education: Years of Education,47,2,1
edsecupprlen,EDYRSAG15TO24,Education,Education,Education: Enrollment,Education: Years of Education,47,2,1
POP,EDYRSAG25,Demography,Education,Education: Population,Education: Years of Education,2,1,1
ifsexomodelid,EDYRSAG25,Other,Education,Education: Other switches,Education: Years of Education,0,2,1
EDSECUPPRGRATE,EDYRSAG25,Education,Education,Education: Graduation,Education: Years of Education,45,1,1
EDTERGRATE,EDYRSAG25,Education,Education,Education: Graduation,Education: Years of Education,6,1,1
edpristart,EDYRSAG25,Education,Education,Education: Intake,Education: Years of Education,48,2,1
edprilen,EDYRSAG25,Education,Education,Education: Intake,Education: Years of Education,48,2,1
edseclowrlen,EDYRSAG25,Education,Education,Education: Enrollment,Education: Years of Education,48,2,1
edsecupprlen,EDYRSAG25,Education,Education,Education: Enrollment,Education: Years of Education,48,2,1
ICTBROAD,ENDEM,Infrastructure,Energy,Energy: ICT,Energy: Demand,1,1,1
elendemict,ENDEM,Infrastructure,Energy,Energy: Electricity,Energy: Demand,1,2,1
endemm,ENDEM,Energy,Energy,Energy: Demand,Energy: Demand,-5,2,1
enrgdpgr,ENDEM,Energy,Energy,Energy: Demand,Energy: Demand,-5,2,1
GDPP,ENDEM,Economy,Energy,Energy: GDP,Energy: Demand,22,1,1
POPR,ENDEM,Demography,Energy,Energy: Population,Energy: Demand,92,1,1
enconv,ENDEM,Energy,Energy,Energy: Demand,Energy: Demand,16,2,1
WEP,ENDEM,Energy,Energy,Energy: Production,Energy: Demand,-2,1,1
ENPRI,ENDEM,Energy,Energy,Energy: Prices,Energy: Demand,51,1,1
elasde,ENDEM,Energy,Energy,Energy: Demand,Energy: Demand,-3,2,1
GDPPC,ENDEM,Economy,Energy,Energy: GDP,Energy: Demand,93,1,1
igdpr,ENDEM,Economy,Energy,Energy: GDP,Energy: Demand,93,2,1
WEPBYEAR,ENDEM,Energy,Energy,Energy: Production,Energy: Demand,42,1,1
ENP,ENDEM,Energy,Energy,Energy: Production,Energy: Demand,-282,1,1
carfuel1,ENDEM,Environment,Energy,Energy: Carbon Emissions,Energy: Demand,-282,2,1
carfuel2,ENDEM,Environment,Energy,Energy: Carbon Emissions,Energy: Demand,-282,2,1
carfuel3,ENDEM,Environment,Energy,Energy: Carbon Emissions,Energy: Demand,-282,2,1
carbtax,ENDEM,Environment,Energy,Energy: Carbon Emissions,Energy: Demand,-282,2,1
ENX,ENDEM,Energy,Energy,Energy: Trade,Energy: Demand,0,1,1
ENM,ENDEM,Energy,Energy,Energy: Trade,Energy: Demand,0,1,1
ENST,ENDEM,Energy,Energy,Energy: Stocks,Energy: Demand,0,1,1
ENPRR,ENDEM,Energy,Energy,Energy: Production,Energy: Demand,6,1,1
ENDEM,ENDEMSH,Energy,Energy,Energy: Demand,Energy: Demand,0,1,1
enconv,ENDEMSH,Energy,Energy,Energy: Demand,Energy: Demand,1,2,1
enelecshrendemm,ENELECSHRENDEM,Infrastructure,Infrastructure,Infrastructure: Electricity,Infrastructure: Electricity,0,2,1
extmaposnenelecshr,ENELECSHRENDEM,Infrastructure,Infrastructure,Infrastructure: Roads,Infrastructure: Electricity,1,2,1
GDPPCP,ENELECSHRENDEM,Economy,Infrastructure,Infrastructure: GDP,Infrastructure: Electricity,4,1,1
INFRAELECACC,ENELECSHRENDEM,Infrastructure,Infrastructure,Infrastructure: Electricity,Infrastructure: Electricity,4,1,1
ENP,ENELECSHRENDEM,Energy,Infrastructure,Infrastructure: Production,Infrastructure: Electricity,231,1,1
ENDEMSH,ENELECSHRENDEM,Energy,Infrastructure,Infrastructure: Demand,Infrastructure: Electricity,231,1,1
ENX,ENM,Energy,Energy,Energy: Trade,Energy: Trade,4,1,1
enml,ENM,Energy,Energy,Energy: Trade,Energy: Trade,0,2,1
ENDEM,ENM,Energy,Energy,Energy: Demand,Energy: Trade,17,1,1
ENST,ENM,Energy,Energy,Energy: Stocks,Energy: Trade,12,1,1
ENSHO,ENM,Energy,Energy,Energy: Shortages,Energy: Trade,12,1,1
ENP,ENM,Energy,Energy,Energy: Production,Energy: Trade,24,1,1
endemm,ENM,Energy,Energy,Energy: Demand,Energy: Trade,41,2,1
enrgdpgr,ENM,Energy,Energy,Energy: Demand,Energy: Trade,41,2,1
GDPP,ENM,Economy,Energy,Energy: GDP,Energy: Trade,68,1,1
POPR,ENM,Demography,Energy,Energy: Population,Energy: Trade,138,1,1
enconv,ENM,Energy,Energy,Energy: Demand,Energy: Trade,62,2,1
WEP,ENM,Energy,Energy,Energy: Production,Energy: Trade,44,1,1
ENPRI,ENM,Energy,Energy,Energy: Prices,Energy: Trade,97,1,1
elasde,ENM,Energy,Energy,Energy: Demand,Energy: Trade,43,2,1
GDPPC,ENM,Economy,Energy,Energy: GDP,Energy: Trade,139,1,1
igdpr,ENM,Economy,Energy,Energy: GDP,Energy: Trade,139,2,1
WEPBYEAR,ENM,Energy,Energy,Energy: Production,Energy: Trade,88,1,1
POP,ENM,Demography,Energy,Energy: Population,Energy: Trade,67,1,1
trademax,ENM,Economy,Energy,Energy: Trade,Energy: Trade,120,2,1
MS,ENM,Economy,Energy,Energy: Trade,Energy: Trade,0,1,1
trademax,ENP,Economy,Energy,Energy: Trade,Energy: Production,170,2,1
enpcoalmax,ENP,Energy,Energy,Energy: Production,Energy: Production,1,2,1
QE,ENP,Energy,Energy,Energy: Production,Energy: Production,0,1,1
enpm,ENP,Energy,Energy,Energy: Production,Energy: Production,0,2,1
eninvtm,ENP,Energy,Energy,Energy: Investment,Energy: Production,-220,2,1
IDS,ENP,Economy,Energy,Energy: Investment,Energy: Production,-222,1,1
enon,ENP,Energy,Energy,Energy: Demand,Energy: Production,-222,2,1
enconv,ENP,Energy,Energy,Energy: Demand,Energy: Production,-208,2,1
encartpp,ENPRI,Energy,Energy,Energy: Demand,Energy: Prices,0,2,1
enpm,ENPRI,Energy,Energy,Energy: Production,Energy: Prices,38,2,1
enprixi,ENPRI,Energy,Energy,Energy: Prices,Energy: Prices,0,2,1
eprohw,ENPRI,Energy,Energy,Energy: Prices,Energy: Prices,8,2,1
lke,ENPRI,Energy,Energy,Energy: Prices,Energy: Prices,18,2,1
ZS,ENPRI,Economy,Energy,Energy: Production,Energy: Prices,-105,1,1
ENP,ENPRI,Energy,Energy,Energy: Production,Energy: Prices,-101,1,1
WEPBYEAR,ENPRI,Energy,Energy,Energy: Production,Energy: Prices,153,1,1
dstlen,ENPRI,Water,Energy,Energy: Desalination,Energy: Prices,12,2,1
eninvtm,ENPRI,Energy,Energy,Energy: Investment,Energy: Prices,-119,2,1
ENST,ENPRI,Energy,Energy,Energy: Stocks,Energy: Prices,20,1,1
ENSHO,ENPRI,Energy,Energy,Energy: Shortages,Energy: Prices,20,1,1
WENP,ENPRI,Energy,Energy,Energy: Production,Energy: Prices,13,1,1
IDS,ENPRI,Economy,Energy,Energy: Investment,Energy: Prices,-121,1,1
enon,ENPRI,Energy,Energy,Energy: Demand,Energy: Prices,-121,2,1
WEP,ENPRI,Energy,Energy,Energy: Production,Energy: Prices,153,1,1
enprix,ENPRI,Energy,Energy,Energy: Prices,Energy: Prices,0,2,1
lke,ENPRR,Energy,Energy,Energy: Prices,Energy: Production,0,2,1
eninvtm,ENPRR,Energy,Energy,Energy: Investment,Energy: Production,4,2,1
IDS,ENPRR,Economy,Energy,Energy: Investment,Energy: Production,5,1,1
enon,ENPRR,Energy,Energy,Energy: Demand,Energy: Production,5,2,1
CIVDM,ENPRR,Interstate,Energy,Energy: Wars,Energy: Production,2,1,1
enconv,ENPRR,Energy,Energy,Energy: Demand,Energy: Production,19,2,1
ENP,ENPRR,Energy,Energy,Energy: Production,Energy: Production,33,1,1
QE,ENPRR,Energy,Energy,Energy: Production,Energy: Production,33,1,1
eprodr,ENPRR,Energy,Energy,Energy: Production,Energy: Production,49,2,1
eninvm,ENPRR,Energy,Energy,Energy: Investment,Energy: Production,66,2,1
enpcoalmax,ENPRR,Energy,Energy,Energy: Production,Energy: Production,44,2,1
ENDEM,ENPRR,Energy,Energy,Energy: Demand,Energy: Production,40,1,1
WGDP,ENPRR,Economy,Energy,Energy: GDP,Energy: Production,87,1,1
elenpr,ENPRR,Energy,Energy,Energy: Demand,Energy: Production,88,2,1
elenpr2,ENPRR,Energy,Energy,Energy: Demand,Energy: Production,88,2,1
eleniprof,ENPRR,Energy,Energy,Energy: Demand,Energy: Production,79,2,1
eleniprof2,ENPRR,Energy,Energy,Energy: Demand,Energy: Production,79,2,1
dstlen,ENPRR,Water,Energy,Energy: Desalination,Energy: Production,83,2,1
ENST,ENPRR,Energy,Energy,Energy: Stocks,Energy: Production,146,1,1
ENSHO,ENPRR,Energy,Energy,Energy: Shortages,Energy: Production,146,1,1
EPROFITR,ENPRR,Energy,Energy,Energy: Prices,Energy: Production,81,1,1
GDP,ENPRR,Economy,Energy,Energy: GDP,Energy: Production,295,1,1
ENDEM,ENRGDP,Energy,Energy,Energy: Demand,Energy: Demand,0,1,1
GDP,ENRGDP,Economy,Energy,Energy: GDP,Energy: Demand,0,1,1
igdpr,ENRGDP,Economy,Energy,Energy: GDP,Energy: Demand,0,2,1
WENP,ENSHO,Energy,Energy,Energy: Production,Energy: Shortages,25,1,1
ENDEM,ENSHO,Energy,Energy,Energy: Demand,Energy: Shortages,232,1,1
xhw,ENSHO,Economy,Energy,Energy: Government Finance,Energy: Shortages,59,2,1
ENX,ENSHO,Energy,Energy,Energy: Trade,Energy: Shortages,59,1,1
